(よんじゅうに)	四十二	"forty two, the answer"	2
(かいがん)	海岸	"seashore, coast, seacoast"	11
(くろい)	黒い	"black"	7
(ちち)	父	"father"	3
(かたな)	刀	"sword, katana"	2
(すうじ)	数字	"numeral, digit"	8
(かく, かど)	角	"angle, corner"	5
(さんかく)	三角	"triangle"	5
(でぐち)	出口	"exit"	2
(らいげつ)	来月	"next month"	5
(たいない)	体内	"internal, within the body, inside the body"	5
(じんこう)	人口	"population"	1
(こ)	子	"kid, child"	2
(しんがん)	心願	"heartfelt desire, heartfelt wish, prayer, heart's desire"	13
(ねがいごと)	願い事	"one's wish, prayer, wish"	17
(むし)	虫	"bug, insect"	4
(ねっしん)	熱心	"enthusiasm, passion, zeal"	13
(あつい)	熱い	"hot thing, hot"	13
(えきちょう)	駅長	"station master, stationmaster, train station master, train stationmaster"	13
(どうかん)	同感	"sympathy, same sentiment, concurrence, agree, empathy"	13
(ごかん)	五感	"the five senses, five senses"	13
(かんしゃ)	感謝	"thanks, gratitude"	13
(ゆびわ)	指輪	"ring"	15
(しゃりん)	車輪	"tire, car wheel, tyre"	13
(えいがかん)	映画館	"movie theater, cinema, movie theatre"	15
(えいが)	映画	"movie, film"	13
(みみうち)	耳打ち	"whisper in ear, whisper in one's ear, whisper in someone's ear"	4
(なさけ)	情け	"pity, sympathy, mercy, compassion"	13
(にんじょう)	人情	"humanity, human feelings, empathy, kindness, sympathy"	13
(しんじゅく)	新宿	"shinjuku"	13
(ひょうじょう)	表情	"facial expression"	13
(わ)	輪	"ring, wheel, loop"	13
(みる)	見る	"to see, to look"	4
(えき)	駅	"station, train station"	13
(えきまえ)	駅前	"front of station, in front of station, front of the station, in front of the station, station front"	13
(ふゆやすみ)	冬休み	"winter holiday, winter break, winter vacation"	6
(かんじ)	感じ	"feeling, sense, impression"	13
(かちょう)	課長	"section manager, section chief"	13
(やくぶつ)	薬物	"medicines, drugs"	17
(くすり)	薬	"medicine, drug, drugs"	17
(やくほう)	薬方	"prescription"	17
(やくがく)	薬学	"study of pharmacy, pharmacology, pharmaceutics"	17
(そうだん)	相談	"consultation, discussion, advice"	9
(じゅうろく)	十六	"sixteen"	2
(た)	田	"rice field, rice paddy"	2
(むっつ)	六つ	"six things"	2
(かいし)	開始	"start, beginning, opening"	10
(き)	木	"tree, wood"	2
(まるごと)	丸ごと	"in its entirety, whole, wholly, entirely"	4
(しんちく)	新築	"newly built, new building, new construction"	15
(にせんじゅういちねん)	２０１１年	"year 2011, 2011, the year 2011"	4
(きねんび)	記念日	"holiday, anniversary, memorial day"	16
